date,dateymd,status,Total,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
26-Jun-20,2020-06-26,Confirmed,18255,14,605,2,273,190,2,89,0,3460,15,44,580,25,421,31,213,445,150,0,5024,2,19,203,2,16,218,188,32,364,2,985,3645,35,750,34,542
27-Jun-20,2020-06-27,Confirmed,20142,0,796,3,246,302,3,65,0,2948,15,89,615,30,543,45,204,918,195,0,6368,0,17,167,3,16,170,99,85,284,0,1087,3713,9,606,66,521
28-Jun-20,2020-06-28,Confirmed,19610,11,813,5,327,244,3,84,0,2889,4,70,624,22,402,25,127,1267,118,0,5493,2,93,221,1,28,264,160,29,327,1,983,3940,12,598,32,572
29-Jun-20,2020-06-29,Confirmed,18339,7,793,5,302,394,3,101,0,2084,15,53,626,26,381,62,144,1105,122,0,5257,1,42,184,0,36,245,202,42,389,0,975,3949,34,681,8,624
30-Jun-20,2020-06-30,Confirmed,18256,7,704,4,613,370,6,63,0,2199,10,64,620,11,338,64,260,947,131,0,4878,2,7,223,9,8,206,150,24,348,0,945,3943,8,664,50,652
01-Jul-20,2020-07-01,Confirmed,19429,3,657,4,548,216,6,82,0,2442,16,72,675,26,393,35,198,1272,151,0,5537,2,26,268,0,42,251,100,25,304,1,1018,3882,8,564,66,611
02-Jul-20,2020-07-02,Confirmed,21947,9,845,37,479,478,4,73,0,2373,25,95,681,35,568,60,154,1502,160,0,6328,3,19,245,2,34,229,116,63,350,12,1213,4343,39,769,37,649
03-Jul-20,2020-07-03,Confirmed,22718,7,837,20,365,426,4,52,0,2520,50,94,687,19,494,112,170,1694,211,0,6364,4,37,191,0,4,561,153,22,390,1,1892,4329,93,972,64,669
04-Jul-20,2020-07-04,Confirmed,24018,3,765,7,1202,349,5,96,0,2505,37,108,712,13,545,42,227,1839,240,0,7074,8,9,307,2,24,495,172,80,480,1,1850,4280,25,757,45,743
05-Jul-20,2020-07-05,Confirmed,23942,6,998,10,735,403,7,46,0,2244,32,77,725,17,457,68,183,1925,225,0,6555,2,41,326,22,27,469,174,42,632,22,1590,4150,23,1153,31,895
